province;product_types;currency;product_group_id;product_line;value;date
POMERANIA;;PLN;2.0;barley groats sausage - per 1kg;5.93;2008-6
GREATER POLAND;;PLN;4.0;bread - per 1kg;;2012-5
POLAND;;PLN;2.0;salted herring, non-dressed - per 1kg;5.46;2001-11
SILESIA;;PLN;2.0;pork belly cooked - per 1kg;14.08;1999-4
SILESIA;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2003-5
PODLASKIE;;PLN;2.0;Hunter's sausage dried - per 1kg;17.27;2006-10
LESSER POLAND;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.78;2000-1
KUYAVIA-POMERANIA;;PLN;2.0;dressed chickens - per 1kg;6.47;2016-10
POLAND;;PLN;4.0;bread - per 1kg;;2015-2
HOLY CROSS;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;;1999-4
POMERANIA;;PLN;4.0;bread - per 1kg;;2018-3
POMERANIA;;PLN;2.0;Italian head cheese - per 1kg;11.74;2016-5
LUBLIN;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;9.92;2017-11
WARMIA-MASURIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2013-1
PODLASKIE;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2010-8
SILESIA;;PLN;4.0;bread - per 1kg;;2013-8
LUBUSZ;white table salt bagged - per 1kg;PLN;3.0;;0.0;2015-7
HOLY CROSS;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2017-12
MASOVIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;8.98;2002-7
OPOLE;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2013-3
KUYAVIA-POMERANIA;;PLN;2.0;haddock fillets frozen - per 1kg;15.37;2016-2
LESSER POLAND;;PLN;2.0;pork belly cooked - per 1kg;11.89;2007-6
ŁÓDŹ;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2018-6
LUBUSZ;;PLN;2.0;barley groats sausage - per 1kg;3.53;1999-8
KUYAVIA-POMERANIA;;PLN;2.0;dressed chickens - per 1kg;6.43;2012-6
SUBCARPATHIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2016-9
POLAND;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.32;2003-6
SUBCARPATHIA;30% tomato concentrate - per 1kg;PLN;1.0;;8.08;2006-4
LOWER SILESIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2008-2
OPOLE;;PLN;2.0;beef with bone (rump steak) - per 1kg;14.49;2004-5
LESSER POLAND;;PLN;2.0;smoked bacon with ribs - per 1kg;10.93;2010-7
LESSER POLAND;;PLN;2.0;dressed chickens - per 1kg;4.65;2005-11
SILESIA;;PLN;2.0;pork belly cooked - per 1kg;16.15;2011-10
PODLASKIE;;PLN;2.0;smoked bacon with ribs - per 1kg;11.2;2001-1
POMERANIA;;PLN;2.0;pork belly cooked - per 1kg;15.05;2006-8
SUBCARPATHIA;;PLN;2.0;pork belly cooked - per 1kg;18.19;2016-7
GREATER POLAND;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;1.4;2000-3
LUBLIN;white table salt bagged - per 1kg;PLN;3.0;;0.0;2019-12
PODLASKIE;apple juice, boxed - per 1l;PLN;1.0;;0.0;2009-12
POMERANIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.67;2013-2
LESSER POLAND;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;2014-10
KUYAVIA-POMERANIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;18.67;2009-11
SUBCARPATHIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;23.74;2018-7
MASOVIA;;PLN;2.0;smoked bacon with ribs - per 1kg;11.54;2001-10
GREATER POLAND;natural chocolate plain - per 1kg;PLN;3.0;;14.78;2006-2
WEST POMERANIA;;PLN;2.0;barley groats sausage - per 1kg;9.82;2019-6
ŁÓDŹ;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2017-10
PODLASKIE;;PLN;2.0;pork  meat (raw bacon) - per 1kg;8.28;2005-5
POLAND;;PLN;4.0;buckwheat groats roasted whole - per 1kg;5.45;2010-7
KUYAVIA-POMERANIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.66;2000-6
POLAND;;PLN;2.0;beef with bone (rump steak) - per 1kg;18.17;2008-4
LOWER SILESIA;;PLN;2.0;dressed chickens - per 1kg;6.01;2008-3
SUBCARPATHIA;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2014-2
POMERANIA;;PLN;2.0;fresh non-dressed trout - per 1kg;12.74;2011-11
POLAND;white table salt bagged - per 1kg;PLN;3.0;;0.41;2018-9
GREATER POLAND;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.92;2002-12
LUBUSZ;;PLN;2.0;dressed chickens - per 1kg;7.22;2012-12
POLAND;;PLN;4.0;Masurian barley groats - per 1kg;1.13;2004-9
ŁÓDŹ;;PLN;2.0;boneless beef (sirloin) - per 1kg;21.23;2008-3
KUYAVIA-POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;6.2;2012-9
SUBCARPATHIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.15;2014-4
KUYAVIA-POMERANIA;;PLN;4.0;Masurian barley groats - per 1kg;1.23;2003-4
OPOLE;;PLN;2.0;dressed chickens - per 1kg;0.0;2002-10
POLAND;;PLN;2.0;pork  meat (raw bacon) - per 1kg;12.17;2012-11
MASOVIA;;PLN;2.0;Hunter's sausage dried - per 1kg;18.86;2000-9
SILESIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;5.29;2017-6
HOLY CROSS;;PLN;2.0;boneless beef (sirloin) - per 1kg;11.01;1999-9
