province;product_types;currency;product_group_id;product_line;value;date;product;month;year;quarter
WARMIA-MASURIA;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2013-09-01;beet sugar white, bagged - per 1kg;9.0;2013.0;3.0
POLAND;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;9.86;2014-04-01;pork meat with bone (shoulder) - per 1kg;4.0;2014.0;2.0
GREATER POLAND;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;9.79;2018-03-01;pork meat with bone (shoulder) - per 1kg;3.0;2018.0;1.0
SILESIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2000-01-01;Poznan wheat flour, bagged - per 1kg;1.0;2000.0;1.0
PODLASKIE;;PLN;4.0;Masurian barley groats - per 1kg;1.24;2007-04-01;Masurian barley groats - per 1kg;4.0;2007.0;2.0
LUBLIN;;PLN;2.0;dressed chickens - per 1kg;6.41;2009-06-01;dressed chickens - per 1kg;6.0;2009.0;2.0
POMERANIA;;PLN;2.0;dressed chickens - per 1kg;4.89;2004-06-01;dressed chickens - per 1kg;6.0;2004.0;2.0
LUBUSZ;;PLN;2.0;smoked bacon with ribs - per 1kg;17.17;2018-07-01;smoked bacon with ribs - per 1kg;7.0;2018.0;3.0
MASOVIA;;PLN;2.0;Italian head cheese - per 1kg;5.79;1999-05-01;Italian head cheese - per 1kg;5.0;1999.0;2.0
SUBCARPATHIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.25;2019-03-01;fresh chicken eggs - per 10pcs.;3.0;2019.0;1.0
SILESIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.3;2000-05-01;whole pickled cucumbers 0.9l - per 1pc.;5.0;2000.0;2.0
HOLY CROSS;;PLN;2.0;Italian head cheese - per 1kg;10.36;2014-12-01;Italian head cheese - per 1kg;12.0;2014.0;4.0
HOLY CROSS;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2001-05-01;buckwheat groats roasted whole - per 1kg;5.0;2001.0;2.0
WARMIA-MASURIA;;PLN;2.0;salted herring, non-dressed - per 1kg;7.92;2015-01-01;salted herring, non-dressed - per 1kg;1.0;2015.0;1.0
POMERANIA;30% tomato concentrate - per 1kg;PLN;1.0;;9.15;2002-01-01;30% tomato concentrate - per 1kg;1.0;2002.0;1.0
WEST POMERANIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.32;2015-06-01;fresh chicken eggs - per 10pcs.;6.0;2015.0;2.0
MASOVIA;;PLN;2.0;barley groats sausage - per 1kg;7.68;2019-06-01;barley groats sausage - per 1kg;6.0;2019.0;2.0
OPOLE;;PLN;2.0;beef with bone (rump steak) - per 1kg;25.86;2017-06-01;beef with bone (rump steak) - per 1kg;6.0;2017.0;2.0
WARMIA-MASURIA;;PLN;2.0;salted herring, non-dressed - per 1kg;9.69;2016-05-01;salted herring, non-dressed - per 1kg;5.0;2016.0;2.0
LUBUSZ;;PLN;2.0;pork ham cooked - per 1kg;20.71;2015-09-01;pork ham cooked - per 1kg;9.0;2015.0;3.0
SILESIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2003-03-01;buckwheat groats roasted whole - per 1kg;3.0;2003.0;1.0
POMERANIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2008-03-01;Backpacker's canned pork meat - per 300 g;3.0;2008.0;1.0
OPOLE;;PLN;2.0;pork ham cooked - per 1kg;23.37;2015-07-01;pork ham cooked - per 1kg;7.0;2015.0;3.0
SUBCARPATHIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.75;2006-08-01;Poznan wheat flour, bagged - per 1kg;8.0;2006.0;3.0
LUBLIN;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.09;2017-09-01;Poznan wheat flour, bagged - per 1kg;9.0;2017.0;3.0
WARMIA-MASURIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;4.25;2011-08-01;plain mixed bread (wheat-rye) - per 1kg;8.0;2011.0;3.0
WEST POMERANIA;;PLN;2.0;boneless beef (sirloin) - per 1kg;31.49;2014-06-01;boneless beef (sirloin) - per 1kg;6.0;2014.0;2.0
POLAND;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.65;2004-01-01;pork  with bone (center-cut pork chop) - per 1kg;1.0;2004.0;1.0
WEST POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;2.33;2003-04-01;buckwheat groats roasted whole - per 1kg;4.0;2003.0;2.0
WEST POMERANIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;1.76;2002-11-01;plain mixed bread (wheat-rye) - per 1kg;11.0;2002.0;4.0
GREATER POLAND;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2002-08-01;Masurian barley groats - per 1kg;8.0;2002.0;3.0
WARMIA-MASURIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;2.08;2010-01-01;Backpacker's canned pork meat - per 300 g;1.0;2010.0;1.0
HOLY CROSS;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;0.0;2015-06-01;whole pickled cucumbers 0.9l - per 1pc.;6.0;2015.0;2.0
POLAND;;PLN;4.0;buckwheat groats roasted whole - per 1kg;4.95;2012-08-01;buckwheat groats roasted whole - per 1kg;8.0;2012.0;3.0
PODLASKIE;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;10.53;2010-06-01;pork meat with bone (shoulder) - per 1kg;6.0;2010.0;2.0
LESSER POLAND;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2013-06-01;Backpacker's canned pork meat - per 300 g;6.0;2013.0;2.0
LESSER POLAND;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.95;2012-10-01;frozen carrot and pea mix - per 1kg;10.0;2012.0;4.0
ŁÓDŹ;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.23;2006-10-01;plain mixed bread (wheat-rye) - per 1kg;10.0;2006.0;4.0
HOLY CROSS;;PLN;2.0;Hunter's sausage dried - per 1kg;21.86;2008-05-01;Hunter's sausage dried - per 1kg;5.0;2008.0;2.0
POLAND;;PLN;2.0;Backpacker's canned pork meat - per 300 g;2.65;2003-11-01;Backpacker's canned pork meat - per 300 g;11.0;2003.0;4.0
LOWER SILESIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;1999-06-01;buckwheat groats roasted whole - per 1kg;6.0;1999.0;2.0
WEST POMERANIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;13.88;2012-04-01;pork  meat (raw bacon) - per 1kg;4.0;2012.0;2.0
SUBCARPATHIA;30% tomato concentrate - per 1kg;PLN;1.0;;4.97;2002-03-01;30% tomato concentrate - per 1kg;3.0;2002.0;1.0
OPOLE;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2007-08-01;Poznan wheat flour, bagged - per 1kg;8.0;2007.0;3.0
LUBUSZ;frozen carrot and pea mix - per 1kg;EUR;1.0;;0.0;2015-06-01;frozen carrot and pea mix - per 1kg;6.0;2015.0;2.0
OPOLE;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.19;2005-01-01;frozen carrot and pea mix - per 1kg;1.0;2005.0;1.0
WEST POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;3.57;2006-08-01;buckwheat groats roasted whole - per 1kg;8.0;2006.0;3.0
SILESIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;24.4;2015-11-01;beef with bone (rump steak) - per 1kg;11.0;2015.0;4.0
HOLY CROSS;apple juice, boxed - per 1l;PLN;1.0;;0.0;2019-02-01;apple juice, boxed - per 1l;2.0;2019.0;1.0
POLAND;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.54;2003-08-01;whole pickled cucumbers 0.9l - per 1pc.;8.0;2003.0;3.0
GREATER POLAND;;PLN;2.0;fresh non-dressed carp - per 1kg;;2012-09-01;fresh non-dressed carp - per 1kg;9.0;2012.0;3.0
ŁÓDŹ;;PLN;2.0;pork  meat (raw bacon) - per 1kg;12.87;2016-04-01;pork  meat (raw bacon) - per 1kg;4.0;2016.0;2.0
POLAND;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;13.85;2013-08-01;pork  with bone (center-cut pork chop) - per 1kg;8.0;2013.0;3.0
LOWER SILESIA;;PLN;2.0;barley groats sausage - per 1kg;3.82;2001-03-01;barley groats sausage - per 1kg;3.0;2001.0;1.0
OPOLE;apple juice, boxed - per 1l;PLN;1.0;;0.0;2015-06-01;apple juice, boxed - per 1l;6.0;2015.0;2.0
MASOVIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2006-08-01;Poznan wheat flour, bagged - per 1kg;8.0;2006.0;3.0
GREATER POLAND;;PLN;2.0;smoked bacon with ribs - per 1kg;11.13;2001-11-01;smoked bacon with ribs - per 1kg;11.0;2001.0;4.0
MASOVIA;natural chocolate plain - per 1kg;PLN;3.0;;18.83;2004-07-01;natural chocolate plain - per 1kg;7.0;2004.0;3.0
SILESIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.28;2014-01-01;fresh chicken eggs - per 10pcs.;1.0;2014.0;1.0
HOLY CROSS;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2008-09-01;fresh chicken eggs - per 10pcs.;9.0;2008.0;3.0
HOLY CROSS;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2005-01-01;fresh non-dressed trout - per 1kg;1.0;2005.0;1.0
HOLY CROSS;;PLN;2.0;haddock fillets frozen - per 1kg;8.95;2003-03-01;haddock fillets frozen - per 1kg;3.0;2003.0;1.0
OPOLE;;PLN;2.0;fresh non-dressed carp - per 1kg;;2014-04-01;fresh non-dressed carp - per 1kg;4.0;2014.0;2.0
HOLY CROSS;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2002-03-01;buckwheat groats roasted whole - per 1kg;3.0;2002.0;1.0
LESSER POLAND;;PLN;2.0;fresh non-dressed trout - per 1kg;;2002-06-01;fresh non-dressed trout - per 1kg;6.0;2002.0;2.0
MASOVIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;12.63;2012-09-01;pork  meat (raw bacon) - per 1kg;9.0;2012.0;3.0
KUYAVIA-POMERANIA;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2005-10-01;fresh non-dressed trout - per 1kg;10.0;2005.0;4.0
KUYAVIA-POMERANIA;;PLN;2.0;salted herring, non-dressed - per 1kg;8.73;2014-09-01;salted herring, non-dressed - per 1kg;9.0;2014.0;3.0
POLAND;frozen carrot and pea mix - per 1kg;EUR;1.0;;3.68;2014-07-01;frozen carrot and pea mix - per 1kg;7.0;2014.0;3.0
LUBLIN;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.05;2001-03-01;Poznan wheat flour, bagged - per 1kg;3.0;2001.0;1.0
MASOVIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;3.38;2002-12-01;frozen carrot and pea mix - per 1kg;12.0;2002.0;4.0
LOWER SILESIA;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2008-06-01;fresh non-dressed trout - per 1kg;6.0;2008.0;2.0
LOWER SILESIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;2.64;2003-09-01;Backpacker's canned pork meat - per 300 g;9.0;2003.0;3.0
SILESIA;;PLN;2.0;salted herring, non-dressed - per 1kg;8.39;2013-03-01;salted herring, non-dressed - per 1kg;3.0;2013.0;1.0
HOLY CROSS;;PLN;2.0;pork belly cooked - per 1kg;18.29;2017-12-01;pork belly cooked - per 1kg;12.0;2017.0;4.0
WEST POMERANIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.39;2010-08-01;plain mixed bread (wheat-rye) - per 1kg;8.0;2010.0;3.0
OPOLE;;PLN;2.0;barley groats sausage - per 1kg;6.03;2008-06-01;barley groats sausage - per 1kg;6.0;2008.0;2.0
KUYAVIA-POMERANIA;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2012-03-01;30% tomato concentrate - per 1kg;3.0;2012.0;1.0
LUBLIN;;PLN;2.0;boneless beef (sirloin) - per 1kg;12.67;2002-06-01;boneless beef (sirloin) - per 1kg;6.0;2002.0;2.0
POMERANIA;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2010-12-01;beet sugar white, bagged - per 1kg;12.0;2010.0;4.0
GREATER POLAND;apple juice, boxed - per 1l;PLN;1.0;;0.88;2004-12-01;apple juice, boxed - per 1l;12.0;2004.0;4.0
LUBLIN;;PLN;4.0;buckwheat groats roasted whole - per 1kg;3.44;2008-12-01;buckwheat groats roasted whole - per 1kg;12.0;2008.0;4.0
LOWER SILESIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2013-03-01;fresh non-dressed carp - per 1kg;3.0;2013.0;1.0
MASOVIA;white table salt bagged - per 1kg;PLN;3.0;;0.0;2005-12-01;white table salt bagged - per 1kg;12.0;2005.0;4.0
POLAND;white table salt bagged - per 1kg;PLN;3.0;;0.41;2011-12-01;white table salt bagged - per 1kg;12.0;2011.0;4.0
POMERANIA;;PLN;4.0;Masurian barley groats - per 1kg;1.27;2007-10-01;Masurian barley groats - per 1kg;10.0;2007.0;4.0
OPOLE;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2017-09-01;Poznan wheat flour, bagged - per 1kg;9.0;2017.0;3.0
LUBUSZ;;PLN;2.0;beef with bone (rump steak) - per 1kg;8.63;2000-10-01;beef with bone (rump steak) - per 1kg;10.0;2000.0;4.0
MASOVIA;beet sugar white, bagged - per 1kg;PLN;3.0;;2.42;2006-09-01;beet sugar white, bagged - per 1kg;9.0;2006.0;3.0
MASOVIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.7;2002-04-01;buckwheat groats roasted whole - per 1kg;4.0;2002.0;2.0
LESSER POLAND;;PLN;2.0;pork ham cooked - per 1kg;21.33;2017-03-01;pork ham cooked - per 1kg;3.0;2017.0;1.0
GREATER POLAND;;PLN;2.0;Backpacker's canned pork meat - per 300 g;2.02;2016-01-01;Backpacker's canned pork meat - per 300 g;1.0;2016.0;1.0
MASOVIA;;PLN;2.0;fresh non-dressed carp - per 1kg;0.0;1999-05-01;fresh non-dressed carp - per 1kg;5.0;1999.0;2.0
LOWER SILESIA;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2006-10-01;Masurian barley groats - per 1kg;10.0;2006.0;4.0
SILESIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;9.37;2002-07-01;beef with bone (rump steak) - per 1kg;7.0;2002.0;3.0
PODLASKIE;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;0.0;2015-12-01;whole pickled cucumbers 0.9l - per 1pc.;12.0;2015.0;4.0
WARMIA-MASURIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.21;2018-09-01;Poznan wheat flour, bagged - per 1kg;9.0;2018.0;3.0
LUBUSZ;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.23;2010-01-01;pork  with bone (center-cut pork chop) - per 1kg;1.0;2010.0;1.0
POLAND;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.16;2010-08-01;plain mixed bread (wheat-rye) - per 1kg;8.0;2010.0;3.0
OPOLE;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2009-07-01;buckwheat groats roasted whole - per 1kg;7.0;2009.0;3.0
LOWER SILESIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2011-04-01;Backpacker's canned pork meat - per 300 g;4.0;2011.0;2.0
SUBCARPATHIA;apple juice, boxed - per 1l;PLN;1.0;;0.0;2007-04-01;apple juice, boxed - per 1l;4.0;2007.0;2.0
WEST POMERANIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2009-07-01;natural chocolate plain - per 1kg;7.0;2009.0;3.0
LUBUSZ;;PLN;2.0;Italian head cheese - per 1kg;9.93;2013-10-01;Italian head cheese - per 1kg;10.0;2013.0;4.0
LUBUSZ;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2012-09-01;30% tomato concentrate - per 1kg;9.0;2012.0;3.0
WEST POMERANIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;1.87;2002-09-01;plain mixed bread (wheat-rye) - per 1kg;9.0;2002.0;3.0
POMERANIA;;PLN;2.0;Italian head cheese - per 1kg;7.2;2007-02-01;Italian head cheese - per 1kg;2.0;2007.0;1.0
MASOVIA;30% tomato concentrate - per 1kg;PLN;1.0;;11.12;2010-01-01;30% tomato concentrate - per 1kg;1.0;2010.0;1.0
HOLY CROSS;;PLN;2.0;beef with bone (rump steak) - per 1kg;12.81;2004-05-01;beef with bone (rump steak) - per 1kg;5.0;2004.0;2.0
POMERANIA;;PLN;2.0;Italian head cheese - per 1kg;7.7;2008-01-01;Italian head cheese - per 1kg;1.0;2008.0;1.0
KUYAVIA-POMERANIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;2.93;2000-04-01;Backpacker's canned pork meat - per 300 g;4.0;2000.0;2.0
POLAND;;PLN;2.0;smoked bacon with ribs - per 1kg;14.72;2019-11-01;smoked bacon with ribs - per 1kg;11.0;2019.0;4.0
SUBCARPATHIA;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;2005-03-01;haddock fillets frozen - per 1kg;3.0;2005.0;1.0
WEST POMERANIA;;PLN;4.0;Masurian barley groats - per 1kg;1.11;2005-09-01;Masurian barley groats - per 1kg;9.0;2005.0;3.0
GREATER POLAND;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;9.91;2001-03-01;pork meat with bone (shoulder) - per 1kg;3.0;2001.0;1.0
SUBCARPATHIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2018-10-01;natural chocolate plain - per 1kg;10.0;2018.0;4.0
KUYAVIA-POMERANIA;;PLN;2.0;pork belly cooked - per 1kg;15.17;2010-05-01;pork belly cooked - per 1kg;5.0;2010.0;2.0
LUBLIN;;PLN;4.0;buckwheat groats roasted whole - per 1kg;2.68;2005-10-01;buckwheat groats roasted whole - per 1kg;10.0;2005.0;4.0
SUBCARPATHIA;;PLN;2.0;smoked bacon with ribs - per 1kg;16.16;2013-01-01;smoked bacon with ribs - per 1kg;1.0;2013.0;1.0
LUBLIN;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2009-12-01;30% tomato concentrate - per 1kg;12.0;2009.0;4.0
WEST POMERANIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;11.66;2003-09-01;pork  with bone (center-cut pork chop) - per 1kg;9.0;2003.0;3.0
OPOLE;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.36;2004-11-01;plain mixed bread (wheat-rye) - per 1kg;11.0;2004.0;4.0
LUBLIN;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2010-06-01;fresh non-dressed trout - per 1kg;6.0;2010.0;2.0
POLAND;;PLN;4.0;Masurian barley groats - per 1kg;1.09;2006-04-01;Masurian barley groats - per 1kg;4.0;2006.0;2.0
PODLASKIE;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2004-04-01;beet sugar white, bagged - per 1kg;4.0;2004.0;2.0
LUBLIN;;PLN;2.0;Hunter's sausage dried - per 1kg;22.35;2014-05-01;Hunter's sausage dried - per 1kg;5.0;2014.0;2.0
WEST POMERANIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2000-02-01;Poznan wheat flour, bagged - per 1kg;2.0;2000.0;1.0
LUBUSZ;white table salt bagged - per 1kg;PLN;3.0;;0.0;2009-07-01;white table salt bagged - per 1kg;7.0;2009.0;3.0
PODLASKIE;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2012-12-01;natural chocolate plain - per 1kg;12.0;2012.0;4.0
LUBUSZ;;PLN;2.0;smoked bacon with ribs - per 1kg;17.25;2016-07-01;smoked bacon with ribs - per 1kg;7.0;2016.0;3.0
OPOLE;;PLN;2.0;pork belly cooked - per 1kg;17.07;2005-12-01;pork belly cooked - per 1kg;12.0;2005.0;4.0
POLAND;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;7.66;2006-04-01;pork meat with bone (shoulder) - per 1kg;4.0;2006.0;2.0
KUYAVIA-POMERANIA;30% tomato concentrate - per 1kg;PLN;1.0;;4.88;2005-04-01;30% tomato concentrate - per 1kg;4.0;2005.0;2.0
MASOVIA;;PLN;2.0;boneless beef (sirloin) - per 1kg;25.54;2011-04-01;boneless beef (sirloin) - per 1kg;4.0;2011.0;2.0
POLAND;;PLN;2.0;barley groats sausage - per 1kg;4.31;2003-02-01;barley groats sausage - per 1kg;2.0;2003.0;1.0
LOWER SILESIA;;PLN;2.0;dressed chickens - per 1kg;4.65;1999-04-01;dressed chickens - per 1kg;4.0;1999.0;2.0
SILESIA;beet sugar white, bagged - per 1kg;PLN;3.0;;1.04;2019-09-01;beet sugar white, bagged - per 1kg;9.0;2019.0;3.0
SUBCARPATHIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;11.46;2019-04-01;pork  with bone (center-cut pork chop) - per 1kg;4.0;2019.0;2.0
HOLY CROSS;;PLN;2.0;pork ham cooked - per 1kg;21.8;2017-08-01;pork ham cooked - per 1kg;8.0;2017.0;3.0
WARMIA-MASURIA;;PLN;2.0;pork ham cooked - per 1kg;22.52;2012-11-01;pork ham cooked - per 1kg;11.0;2012.0;4.0
WEST POMERANIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;1.92;2003-05-01;whole pickled cucumbers 0.9l - per 1pc.;5.0;2003.0;2.0
ŁÓDŹ;30% tomato concentrate - per 1kg;PLN;1.0;;6.39;2000-07-01;30% tomato concentrate - per 1kg;7.0;2000.0;3.0
SUBCARPATHIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.51;2013-12-01;whole pickled cucumbers 0.9l - per 1pc.;12.0;2013.0;4.0
LESSER POLAND;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;8.43;2004-01-01;pork meat with bone (shoulder) - per 1kg;1.0;2004.0;1.0
MASOVIA;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2010-06-01;fresh non-dressed trout - per 1kg;6.0;2010.0;2.0
SILESIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.26;2008-12-01;fresh chicken eggs - per 10pcs.;12.0;2008.0;4.0
OPOLE;;PLN;2.0;pork ham cooked - per 1kg;18.83;2008-01-01;pork ham cooked - per 1kg;1.0;2008.0;1.0
POMERANIA;apple juice, boxed - per 1l;PLN;1.0;;0.0;2001-06-01;apple juice, boxed - per 1l;6.0;2001.0;2.0
SILESIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;23.12;2011-02-01;beef with bone (rump steak) - per 1kg;2.0;2011.0;1.0
WARMIA-MASURIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.92;2014-07-01;plain mixed bread (wheat-rye) - per 1kg;7.0;2014.0;3.0
MASOVIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;4.47;2012-02-01;frozen carrot and pea mix - per 1kg;2.0;2012.0;1.0
SILESIA;;PLN;2.0;haddock fillets frozen - per 1kg;9.5;2005-09-01;haddock fillets frozen - per 1kg;9.0;2005.0;3.0
POMERANIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;6.29;2014-11-01;whole pickled cucumbers 0.9l - per 1pc.;11.0;2014.0;4.0
LUBUSZ;;PLN;2.0;pork  meat (raw bacon) - per 1kg;7.16;1999-02-01;pork  meat (raw bacon) - per 1kg;2.0;1999.0;1.0
WEST POMERANIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;0.0;2014-11-01;whole pickled cucumbers 0.9l - per 1pc.;11.0;2014.0;4.0
SILESIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;3.15;2017-03-01;whole pickled cucumbers 0.9l - per 1pc.;3.0;2017.0;1.0
LOWER SILESIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;5.57;2013-07-01;plain mixed bread (wheat-rye) - per 1kg;7.0;2013.0;3.0
POLAND;;PLN;2.0;beef with bone (rump steak) - per 1kg;8.73;2001-03-01;beef with bone (rump steak) - per 1kg;3.0;2001.0;1.0
WEST POMERANIA;;PLN;2.0;haddock fillets frozen - per 1kg;9.43;2000-02-01;haddock fillets frozen - per 1kg;2.0;2000.0;1.0
LESSER POLAND;natural chocolate plain - per 1kg;PLN;3.0;;11.15;2019-12-01;natural chocolate plain - per 1kg;12.0;2019.0;4.0
KUYAVIA-POMERANIA;;PLN;2.0;barley groats sausage - per 1kg;7.73;2015-07-01;barley groats sausage - per 1kg;7.0;2015.0;3.0
WARMIA-MASURIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2005-06-01;natural chocolate plain - per 1kg;6.0;2005.0;2.0
SILESIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2004-04-01;Poznan wheat flour, bagged - per 1kg;4.0;2004.0;2.0
WEST POMERANIA;;PLN;2.0;pork ham cooked - per 1kg;17.86;2001-03-01;pork ham cooked - per 1kg;3.0;2001.0;1.0
POMERANIA;;PLN;2.0;boneless beef (sirloin) - per 1kg;32.6;2019-01-01;boneless beef (sirloin) - per 1kg;1.0;2019.0;1.0
WEST POMERANIA;;PLN;2.0;fresh non-dressed trout - per 1kg;9.39;2007-06-01;fresh non-dressed trout - per 1kg;6.0;2007.0;2.0
SUBCARPATHIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2010-06-01;buckwheat groats roasted whole - per 1kg;6.0;2010.0;2.0
LESSER POLAND;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2015-06-01;buckwheat groats roasted whole - per 1kg;6.0;2015.0;2.0
LUBLIN;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.05;2007-11-01;Poznan wheat flour, bagged - per 1kg;11.0;2007.0;4.0
PODLASKIE;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2009-02-01;beet sugar white, bagged - per 1kg;2.0;2009.0;1.0
POMERANIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2018-07-01;fresh non-dressed carp - per 1kg;7.0;2018.0;3.0
MASOVIA;;PLN;2.0;fresh non-dressed carp - per 1kg;0.0;2000-08-01;fresh non-dressed carp - per 1kg;8.0;2000.0;3.0
PODLASKIE;;PLN;2.0;Hunter's sausage dried - per 1kg;23.17;2001-07-01;Hunter's sausage dried - per 1kg;7.0;2001.0;3.0
POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;4.62;2012-05-01;buckwheat groats roasted whole - per 1kg;5.0;2012.0;2.0
LUBLIN;;PLN;2.0;dressed chickens - per 1kg;4.3;2005-10-01;dressed chickens - per 1kg;10.0;2005.0;4.0
ŁÓDŹ;;PLN;2.0;beef with bone (rump steak) - per 1kg;9.87;2002-06-01;beef with bone (rump steak) - per 1kg;6.0;2002.0;2.0
LUBLIN;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.76;2002-02-01;frozen carrot and pea mix - per 1kg;2.0;2002.0;1.0
MASOVIA;;PLN;2.0;pork belly cooked - per 1kg;14.89;2004-04-01;pork belly cooked - per 1kg;4.0;2004.0;2.0
GREATER POLAND;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;1999-04-01;buckwheat groats roasted whole - per 1kg;4.0;1999.0;2.0
HOLY CROSS;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.39;2005-04-01;whole pickled cucumbers 0.9l - per 1pc.;4.0;2005.0;2.0
SILESIA;;PLN;2.0;Italian head cheese - per 1kg;6.9;2005-12-01;Italian head cheese - per 1kg;12.0;2005.0;4.0
PODLASKIE;;PLN;2.0;pork  meat (raw bacon) - per 1kg;15.28;2018-09-01;pork  meat (raw bacon) - per 1kg;9.0;2018.0;3.0
