province;product_types;currency;product_group_id;product_line;value;date;product;month;year;quarter
POLAND;;PLN;2.0;dressed chickens - per 1kg;6.21;2018-08-01;dressed chickens - per 1kg;8.0;2018.0;3.0
HOLY CROSS;apple juice, boxed - per 1l;PLN;1.0;;0.0;2001-07-01;apple juice, boxed - per 1l;7.0;2001.0;3.0
HOLY CROSS;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2011-06-01;30% tomato concentrate - per 1kg;6.0;2011.0;2.0
PODLASKIE;;PLN;2.0;beef with bone (rump steak) - per 1kg;17.28;2007-04-01;beef with bone (rump steak) - per 1kg;4.0;2007.0;2.0
PODLASKIE;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2016-03-01;beet sugar white, bagged - per 1kg;3.0;2016.0;1.0
WEST POMERANIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2000-02-01;Poznan wheat flour, bagged - per 1kg;2.0;2000.0;1.0
GREATER POLAND;;PLN;2.0;haddock fillets frozen - per 1kg;0.54;2007-04-01;haddock fillets frozen - per 1kg;4.0;2007.0;2.0
POMERANIA;apple juice, boxed - per 1l;PLN;1.0;;0.0;2011-06-01;apple juice, boxed - per 1l;6.0;2011.0;2.0
OPOLE;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2000-11-01;Poznan wheat flour, bagged - per 1kg;11.0;2000.0;4.0
LUBLIN;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2018-12-01;fresh non-dressed trout - per 1kg;12.0;2018.0;4.0
HOLY CROSS;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.21;2011-07-01;Poznan wheat flour, bagged - per 1kg;7.0;2011.0;3.0
LUBUSZ;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;15.66;2018-12-01;pork  with bone (center-cut pork chop) - per 1kg;12.0;2018.0;4.0
LESSER POLAND;;PLN;2.0;pork ham cooked - per 1kg;15.79;2000-03-01;pork ham cooked - per 1kg;3.0;2000.0;1.0
SILESIA;;PLN;2.0;barley groats sausage - per 1kg;4.6;2007-01-01;barley groats sausage - per 1kg;1.0;2007.0;1.0
HOLY CROSS;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;1.95;2006-03-01;whole pickled cucumbers 0.9l - per 1pc.;3.0;2006.0;1.0
SUBCARPATHIA;;PLN;4.0;bread - per 1kg;;2011-02-01;bread - per 1kg;2.0;2011.0;1.0
SUBCARPATHIA;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2016-05-01;fresh non-dressed trout - per 1kg;5.0;2016.0;2.0
WARMIA-MASURIA;;PLN;2.0;dressed chickens - per 1kg;5.84;2018-05-01;dressed chickens - per 1kg;5.0;2018.0;2.0
SUBCARPATHIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2015-11-01;buckwheat groats roasted whole - per 1kg;11.0;2015.0;4.0
LESSER POLAND;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;13.21;2016-06-01;pork  with bone (center-cut pork chop) - per 1kg;6.0;2016.0;2.0
WEST POMERANIA;;PLN;2.0;dressed chickens - per 1kg;7.14;2013-01-01;dressed chickens - per 1kg;1.0;2013.0;1.0
POMERANIA;;PLN;2.0;Italian head cheese - per 1kg;5.75;2003-03-01;Italian head cheese - per 1kg;3.0;2003.0;1.0
